QID,domain,subdomain,question,imageURL,options,answer,explaination
1545,Amines,Chemical Reactions,"What is the most suitable temperature for the conversion of benzenediazonium fluoroborate to nitrobenzene, with sodium nitrite and copper?",0,"['0°C', '10°C', '22°C', '40°C']",d,"When diazonium fluoroborate is heated with aqueous NaNO<sub>2</sub> in the presence of copper metal, the diazo group is replaced by NO<sub>2</sub> group, to give nitrobenzene."
1546,Amines,Chemical Reactions,Which of the following is a by product of the reaction between fluoroborate diazonium salt and sodium nitrite in the presence of copper?,0,"['HBF<sub>4</sub>', 'NaBF<sub>4</sub>', 'Na<sub>3</sub>N', 'NaF']",b,The diazonium salt dissociates in solution giving a free fluoroborate anion (BF<sub>4</sub><sup>–</sup>). This combines with the Na<sup>+</sup> ions in solution to form NaBF<sub>4</sub>.
1547,Amines,Chemical Reactions,The reaction involving the conversion of diazonium salts to azo compounds is known as _______ reaction.,0,"['diazotisation', 'deamination', 'coupling', 'carbylamine']",c,"Benzenediazonium salts react with highly reactive electron rich aromatic compounds to form azo compounds of the form Ar-N=N-Ar, where Ar represents an aromatic group. This type of reaction is known as coupling reaction."
1548,Amines,Chemical Reactions,The coupling reaction is a type of _________ reaction.,0,"['electrophilic addition', 'electrophilic substitution', 'nucleophilic addition', 'nucleophilic substitution']",b,"During a coupling reaction, the diazonium cation which has a positive charge on the terminal nitrogen acts as the electrophile, and the electron rich compounds act as nucleophiles."
1549,Amines,Chemical Reactions,The coupling reaction of benzenediazonium chloride with aniline occurs in a ______ medium.,0,"['strongly basic', 'weakly basic', 'neutral', 'weakly acidic']",d,"Aniline is a compound that is slightly basic in nature. To counter the basic effect of aniline during its coupling with diazonium salt, in is conducted in a slightly acidic medium of pH 4 to 5."
1550,Amines,Chemical Reactions,The reaction between benzenediazonium chloride and phenol results in a ______ coloured compound.,0,"['yellow', 'orange', 'red', 'purple']",b,"Benzenediazonium chloride undergoes coupling with phenol to form an azo compound, p-hydroxyazobenzene. This compound is orange in colour."
1551,Amines,Chemical Reactions,The reaction between a diazonium salt and aniline in a slightly acidic medium gives _______,0,"['o-aminoazobenzene', 'm-aminoazobenzene', 'p-aminoazobenzene', 'no reaction']",c,Diazonium salts undergo coupling with aniline to form p-aminoazobenzene. The coupling predominantly occurs at the para position to the amino group.
1552,Amines,Chemical Reactions,What is the most suitable pH of the medium for the conduction of coupling reaction of benzenediazonium chloride with phenol?,0,"['2', '4', '7', '10']",b,The coupling reaction with phenol occurs in a basic medium of pH value approximately 9 to 10. This is to counter the acidic nature of phenol and as a result produce water (by the combination of OH<sup>–</sup> and H<sup>+</sup>) during the reaction.
1553,Amines,Chemical Reactions,Identify the colour of the compound ‘A’ from the following reaction.,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-diazonium-salts-chemical-reactions-3-q7.png,"['Yellow', 'Colourless', 'Green', 'Blue']",a,"Diazonium salts on reaction with aniline form azo compounds which are coloured. This is because of the complex system involving the N-N double bond between two aromatic rings. In this case, compound A is p-aminobenzene, which is yellow coloured."
1554,Amines,Chemical Reactions,"The reaction between benzenediazonium chloride and N,N-dimethylaniline, in an acidic medium at 273 K gives an orange coloured compound.",0,"['True', 'False']",b,"This reaction yields p-dimethylaminoazobenzene, which is a yellow solid commonly known as methyl yellow. However, in an aqueous solution at low pH, methyl yellow appears red in colour."
1555,Amines,Chemical Reactions,"When a diazonium salt is treated with p-cresol, at which position with respect to the hydroxy group does the coupling occur?",0,"['ortho', 'meta', 'para', 'coupling does not take place']",a,"Coupling generally occurs para to the hydroxy group. However in this case, the para position is preoccupied by CH<sub>3</sub> group (cresol), and as a result the coupling takes place at ortho position."
1556,Amines,Chemical Reactions,What is the product of the following reaction?,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-diazonium-salts-chemical-reactions-3-q11.png,"['2-Amino-4-phenylazophenol', '6-Amino-2-phenylazophenol', '2-Amino-5-phenylazophenol', '2-Amino-3-phenylazophenol']",c,"The reactant (o-aminophenol) consists of both hydroxy and amino groups. Since the reaction takes place in an acidic medium, the coupling occurs at para position (first preferred) with respect to the amino group. If the reaction was to take place in a basic medium, the coupling would have occurred at para position with respect to hydroxy group."
1557,Amines,Chemical Reactions,p-Aminophenol on coupling with benzenediazonium chloride in a basic medium gives 4-amino-3-phenylazophenol.,0,"['True', 'False']",b,"As the reaction takes place in a basic medium, the coupling will take place at the ortho position (since para position is already occupied by amino group) with respect to OH group. This results in the compound 4-amino-2-phenylazophenol."
1558,Amines,Aromatic Compounds,Diazonium salts are specifically used as intermediates in the production of which of the following compounds?,0,"['m-Bromotoluene', 'o-Bromotoluene', 'p-Bromophenol', 'o-Bromophenol']",a,"m-Bromotoluene cannot be prepared from the direct bromination of toluene or by Friedel-Crafts alkylation of bromobenzene, because of the ortho, para directing nature of alkyl groups."
1559,Amines,Aromatic Compounds,"What is the minimum number of reactions required for the conversion of aniline to 1,3,5-tribromobenzene?",0,"['2', '3', '4', '5']",b,The three reactions are as follows:
1560,Amines,Aromatic Compounds,p-Iodonitrobenzene can be synthesized from p-nitroaniline.,0,"['True', 'False']",a,p-Nitroaniline on diazotisation gives p-nitrobenzenediazonium chloride with on treatment with potassium iodide replaces the N<sub>2</sub><sup>+</sup>Cl<sup>–</sup> group to give p-iodonitrobenzene.
1561,Amines,Aromatic Compounds,Diazonium salts are used in which of the following industries?,0,"['Pharmaceutical', 'Dye', 'Photography', 'Food']",b,Coupling reactions of diazonium salts produce azo compounds which are coloured in nature. This is used as an application in the manufacturing of dyes.
1562,Amines,Aromatic Compounds,Diazonium salts are primarily used for the preparation of _______ substituted aromatic compounds.,0,"['alkyl', 'halogen', 'amino', 'COOH']",b,"Diazonium salts are important intermediates for the introduction of -F, -Cl, -Br, -I, etc. groups into an aromatic ring. Certain compounds like aryl fluorides and aryl iodides cannot be prepared by direct halogenation and are prepared from diazonium salts."
1563,Biomolecules,Carbohydrates,Which of the following carbohydrates does not satisfy the formula C<sub>x</sub>(H<sub>2</sub>O)<sub>y</sub>?,0,"['Fructose', 'Glucose', 'Deoxyribose', 'Lactose']",c,"Initially, most of the carbohydrates had the general formula C<sub>x</sub>(H<sub>2</sub>O)<sub>y</sub>. Later on it was found out that few of the compounds either fit into this formula but were not carbohydrates or they did not conform to this formula but were hydrates of carbon."
1564,Biomolecules,Carbohydrates,Which of the following carbohydrates does not have the formula C<sub>12</sub>H<sub>22</sub>O<sub>11</sub>?,0,"['Galactose', 'Sucrose', 'Allolactose', 'Maltose']",a,"Galactose is a monosaccharide with the formula C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>. Sucrose, allolactose and maltose are disaccharides with the same chemical formula C<sub>12</sub>H<sub>22</sub>O<sub>11</sub>."
1565,Biomolecules,Carbohydrates,The compound with the formula C<sub>2</sub>(H<sub>2</sub>O)<sub>2</sub> is a ______,0,"['carbohydrate', 'carboxylic acid', 'aldehyde', 'monosaccharide']",b,"The compound is acetic acid (CH<sub>3</sub>COOH). Even though it has the general formula C<sub>x</sub>(H<sub>2</sub>O)<sub>y</sub> of carbohydrates, it is not one. This is one the flaws of the general formula definition of carbohydrates."
1566,Biomolecules,Carbohydrates,Identify the correct formula for the carbohydrate rhamnose?,0,"['C<sub>5</sub>H<sub>10</sub>O<sub>5</sub>', 'C<sub>6</sub>H<sub>12</sub>O<sub>5</sub>', 'C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>', 'C<sub>12</sub>H<sub>22</sub>O<sub>11</sub>']",b,Rhamnose is an example of a carbohydrate that does not satisfy the general formula C<sub>x</sub>(H<sub>2</sub>O)<sub>y</sub>. Its formula is C<sub>6</sub>H<sub>12</sub>O<sub>5</sub>.
1567,Biomolecules,Carbohydrates,Which of the following class of compounds is not a part of the large group of carbohydrates?,0,"['Polyamino aldehydes', 'Polyhalo aldehydes', 'Polyhydroxy ketones', 'Polyhydroxy carboxylic acids']",c,Polyamino aldehydes and polyhalo aldehydes do not contain an OH group. Polyhydroxy carboxylic acids do not contain a CHO or a keto group. These also do not produce OH substituted compounds on hydrolysis.
1568,Biomolecules,Carbohydrates,Which of the following carbohydrates is not a sugar?,0,"['Glucose', 'Fructose', 'Lactose', 'Cellulose']",d,"Glucose, fructose and lactose are examples of compounds that are sweet in taste and are called sugars. Cellulose is a non-sugar that is tasteless, water insoluble and amorphous."
1569,Biomolecules,Carbohydrates,Which of the following is not a polysaccharide?,0,"['Cellulose', 'Stachyose', 'Starch', 'Glycogen']",b,Polysaccharides are those carbohydrates which yield a very large number of monosaccharide units (&gt;10) on hydrolysis. Stachyose (C<sub>24</sub>H<sub>42</sub>O<sub>21</sub>) is a tetrasaccharide that gives four monosaccharide units on hydrolysis.
1570,Biomolecules,Carbohydrates,Identify the monosaccharide from the following.,0,"['Deoxyribose', 'Sucrose', 'Maltose', 'Fructose']",a,Monosaccharides are the simplest carbohydrates which cannot be hydrolysed into simpler units. Deoxyribose (C<sub>5</sub>H<sub>10</sub>O<sub>4</sub>) is a monosaccharide.
1571,Biomolecules,Carbohydrates,Raffinose is an example of a ________,0,"['monosaccharide', 'disaccharide', 'trisaccharide', 'tetrasaccharide']",c,"Raffinose (C<sub>18</sub>H<sub>32</sub>O<sub>16</sub>) is an oligosaccharide which on hydrolysis gives three different monosaccharides, galactose, glucose and fructose. Hence, it is a trisaccharide."
1572,Biomolecules,Carbohydrates,Which of the following disaccharides gives two same monosaccharide units on hydrolysis?,0,"['Maltose', 'Sucrose', 'Lactose', 'Lactulose']",a,"When any carbohydrate undergoes hydrolysis and produces two separate units of monosaccharides, it is a disaccharide. The used units that are produced may be same. Maltose on hydrolysis gives two units of glucose itself."
1573,Biomolecules,Carbohydrates,Sucrose consists of which of the following monosaccharide units?,0,"['Fructose, galactose', 'Fructose, glucose', 'Galactose, glucose', 'Glucose, glucose']",b,"Sucrose is a disaccharide, also known as common sugar, composed of two different monosaccharide units, glucose and fructose, which are obtained on hydrolysis."
1574,Biomolecules,Carbohydrates,Which of the following disaccharides does not consist of two glucose units?,0,"['Trehalose', 'Cellobiose', 'Isomaltose', 'Lactulose']",d,"Lactulose is a disaccharide which is composed of two different monosaccharide units namely, galactose and fructose. Whereas trehalose, cellobiose and isomaltose are disaccharides consisting of two glucose units."
1575,Biomolecules,Carbohydrates,All monosaccharides are reducing sugars.,0,"['True', 'False']",a,"All monosaccharides whether aldose or ketose, are reducing sugars. This is because they have an aldehyde group or can tautomerize in solution to form an aldehyde group, which reduces Fehling’s solution and Tollen’s reagent."
1576,Biomolecules,Carbohydrates,Which of the following is a non-reducing sugar?,0,"['Galactose', 'Glucose', 'Fructose', 'Sucrose']",d,Sucrose is a non-reducing disaccharide which cannot convert to an open chain with a free aldehyde group and hence cannot reduce Fehling’s solution and Tollen’s reagent.
1577,Biomolecules,Carbohydrates,Glucose is an aldohexose.,0,"['True', 'False']",a,Glucose is an aldehydic carbohydrate (with CHO) group at end of chain) with six carbon atoms (hexose). Its formula is C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>.
1578,Biomolecules,Carbohydrates,Which of the following monosaccharides is a ketohexose?,0,"['Glucose', 'Galactose', 'Fructose', 'Mannose']",c,"Fructose is a monosaccharide that consists of six carbon atoms including a carbonyl carbon of a keto group within its chain. Glucose, galactose and mannose are examples of aldohexoses."
